Titulo,Genero,Episodios Totales,Temporadas Totales,Año de estreno,Calificación,Director,Sinopsis,Protagonistas,Trailer
La leyenda de Korra,Animación,52,4,2012,8.233,Desconocido,"Korra es una maestra agua nativa de la Tribu Agua del Sur, según sigue el ciclo del Avatar. Korra ya tiene control sobre el agua control, la tierra control y el fuego control, pero todavía no controla el aire control. Ella aprenderá aire control de un maestro aire, Tenzin, el hijo de Aang y Katara. Como no sucedía en la anterior serie, Avatar: La leyenda de Korra será ambientada en dos únicos lugares, la Ciudad República, una ciudad donde las personas de todas las naciones, maestros y no maestros, viven juntos y por primera vez el Imperio de la Magia, donde habitan maestros y no maestros del poder de la magia, ellos intentarán dominar Ciudad República y las otras 4 naciones. Ciudad República está rodeada del crimen y una revolución de anti-maestros.","Janet Varney, David Faustino, P.J. Byrne, Seychelle Gabriel, J.K. Simmons",No disponible
Rick y Morty,Animación,71,8,2013,8.693,Desconocido,"Comedia animada que narra las aventuras de un científico loco Rick Sánchez, que regresa después de 20 años para vivir con su hija, su marido y sus hijos Morty y Summer.","Chris Parnell, Spencer Grammer, Sarah Chalke, Ian Cardoni, Harry Belden",No disponible
BoJack Horseman,Animación,76,6,2014,8.6,Desconocido,"Conoce al caballo más querido de los 90… veinte años después. Vive en Los Ángeles donde humanos y animales antropomórficos coexisten, BoJack Horseman es la historia de un hombre (bueno, un caballo-hombre) que llegó muy rápido a la cima y ahora tiene que averiguar qué hacer.","Will Arnett, Aaron Paul, Alison Brie, Amy Sedaris, Paul F. Tompkins",No disponible
Big Brother's Big Mouth,Desconocido,242,13,2004,8.0,Desconocido,,Davina McCall,No disponible
Hora de aventuras,Animación,279,10,2010,8.5,Desconocido,"Un niño de 12 años y su mejor amigo, un sabio perro de 28 años con poderes mágicos, se embarcan en una serie de aventuras surrealistas.","Jeremy Shada, John DiMaggio, Tom Kenny, Hynden Walch, Olivia Olson",https://www.youtube.com/watch?v=cWfAN_TwW0E
Futurama,Animación,144,9,1999,8.383,Desconocido,"Serie de animación creada por Matt Groening (creador también de Los Simpson) y David X. Cohen (guionista también de Los Simpson). Ambientada en la ciudad de ""Nueva Nueva York"" en el año 3000, la serie comienza con Philip J. Fry, un joven repartidor de pizza neoyorquino fracasado y desmotivado que es criogénicamente congelado por accidente la Nochevieja de 1999. Mil años después es descongelado, encontrándose en Nueva Nueva York el 31 de diciembre de 2999. El intento de Fry por escapar de la entonces obligatoria asignación laboral como repartidor termina cuando es contratado en Planet Express, una pequeña compañía de mensajería intergaláctica propiedad de su sobrino lejano, como repartidor. La serie trata sobre las aventuras de Fry y sus colegas cuando viajan por el universo haciendo repartos para Planet Express.","Billy West, Katey Sagal, John DiMaggio, Tress MacNeille, Maurice LaMarche",No disponible
Gravity Falls,Animación,40,2,2012,8.59,Desconocido,"Narra las aventuras de los mellizos de 12 años Dipper y Mabel Pines, que ven cómo se desvanecen sus planes para el verano cuando sus padres deciden mandarlos con su tío-abuelo Grunkle Stan, que vive en el corazón de Gravity Falls. Pronto, Dipper y Mabel descubren que en Gravity Falls no todo es lo que parece y confían el uno en el otro y en sus nuevos amigos para descubrir lo que REALMENTE está sucediendo en este extraño lugar...","Jason Ritter, Kristen Schaal, Alex Hirsch, Linda Cardellini",https://www.youtube.com/watch?v=bdoDOvQHOWk
Invencible,Animación,24,3,2021,8.64,Desconocido,"Mark Grayson es un adolescente normal, excepto por el hecho de que su padre es el superhéroe más poderoso del planeta. Poco después de su decimoséptimo cumpleaños, Mark comienza a desarrollar sus propios poderes y entra en la tutela de su padre.","Steven Yeun, Sandra Oh, J.K. Simmons",https://www.youtube.com/watch?v=83kGBULxVGI
Arcane,Animación,18,2,2021,8.766,Desconocido,"Con las dispares ciudades de Piltover y Zaun como telón de fondo, dos hermanas luchan en bandos opuestos de una guerra entre tecnologías mágicas y creencias enfrentadas.","Hailee Steinfeld, Ella Purnell",https://www.youtube.com/watch?v=dIyQmYZnDqU
Sombra y hueso,Drama,16,2,2021,7.874,Desconocido,Fuerzas siniestras conspiran contra una joven soldado que descubre un poder mágico capaz de unir a su país. Basada en las novelas del universo Grisha de Leigh Bardugo.,"Jessie Mei Li, Archie Renaux, Freddy Carter, Amita Suman, Kit Young",https://www.youtube.com/watch?v=8HOfzFSGdjw
La materia oscura (His Dark Materials),Sci-Fi & Fantasy,23,3,2019,7.9,Desconocido,"Lyra es una huérfana que vive en un universo paralelo en el que la ciencia, la teología y la magia están entrelazadas. La búsqueda de Lyra de un amigo secuestrado descubre un siniestro complot que involucra a niños robados, y se convierte en una búsqueda para comprender un fenómeno misterioso llamado Dust. Más tarde, en su viaje, se une a Will, un niño que posee un cuchillo que puede cortar ventanas entre mundos. A medida que Lyra se entera de la verdad sobre sus padres y su destino profetizado, los dos jóvenes se ven envueltos en una guerra contra los poderes celestiales que se extiende a lo largo de muchos mundos.","Dafne Keen, Amir Wilson, Ruth Wilson, Adewale Akinnuoye-Agbaje, Simone Kirby",https://www.youtube.com/watch?v=dnO1Pkw0YgA
Sandman,Sci-Fi & Fantasy,11,2,2022,7.978,Desconocido,"Después de pasar años encarcelado, Morfeo (el Rey de los Sueños) emprende un viaje por diferentes mundos para encontrar lo que le fue arrebatado y recuperar su poder.","Tom Sturridge, Boyd Holbrook, Vivienne Acheampong, Patton Oswalt",No disponible
Carnival Row,Crimen,18,2,2019,7.713,Desconocido,"En la oscura y futurística ciudad neo-victoriana de Burge, una serie de sucesos harán que la fantasía negra se mezcle con la realidad. Burge se ha convertido en un refugio para las criaturas de fantasía que han huido de sus respectivos mundos asolados por la guerra. Pero todo se complicará cuando un peligroso asesino en serie comience a dar caza a los no humanos. El inspector de la policía Rycroft Philostrate (Bloom) será el encargado de investigar el último caso: el asesinado de una bailarina. y aunque el inspector trate de no involucrarse personalmente en el caso, pronto descubrirá que no es fácil separar los sentimientos del trabajo.","Orlando Bloom, Cara Delevingne, Simon McBurney, Tamzin Merchant, David Gyasi",https://www.youtube.com/watch?v=T120yZjSLL0
La rueda del tiempo,Sci-Fi & Fantasy,16,2,2021,7.677,Desconocido,"Ambientada en un mundo de fantasía donde la magia existe, pero solo unos pocos pueden acceder a ella, una mujer llamada Moiraine conoce a cinco hombres y mujeres jóvenes. Esto inicia un viaje peligroso por todo el mundo.","Rosamund Pike, Josha Stradowski, Daniel Henney, Zoë Robins, Madeleine Madden",https://www.youtube.com/watch?v=fqQvDfj9PFU
Good Omens,Sci-Fi & Fantasy,12,2,2019,8.054,Desconocido,"Se acerca el fin del mundo y eso significa que un ángel quisquilloso y un demonio juerguista encantados con la vida en la Tierra deberán unir sus fuerzas para detener el apocalipsis. Pero han perdido al anticristo, un chico de 11 años que no sabe que su destino es acabar con la vida, y se ven obligados a embarcarse en una aventura para encontrarlo y salvar al mundo antes de que sea tarde.","Michael Sheen, David Tennant, Miranda Richardson, Jon Hamm, Nina Sosanya",https://www.youtube.com/watch?v=OHl7uarDa6c
Locke & Key,Sci-Fi & Fantasy,28,3,2020,7.829,Desconocido,"Después del asesinato de su padre, tres hermanos se mudan a una casa con llaves mágicas y poderes ocultos. Adaptación de los cómics de Joe Hill y Gabriel Rodríguez.","Darby Stanchfield, Emilia Jones, Jackson Robert Scott, Connor Jessup, Petrice Jones",No disponible
